,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges
104,ABCC6,0.005623924363215312,23.752262,RIPK2,0.0020783955619107807,1.9819652,BZW2,0.05916064523507851,0.725826,SHROOM4,0.2226493678080041,2.2257717,NDOR1,0.2830629900123438,2.6052108,HEXIM1,0.19405418375748917,1.648693
105,ZNF518A,0.005623930654463407,23.752262,PCBD1,0.002057083283251865,0.8229266,SMARCA2,0.05972953944234997,1.7557685,ORC1,0.22473223627968378,2.1569343,KIDINS220,0.2814447463570973,1.1170266,DNMT3A,0.19128099216844477,1.0512232
106,EDNRB,0.005548769099034494,1.8924433,RPL8,0.002208088340453317,0.3566314,MBNL3,0.06058720700763676,0.98529655,TULP3,0.2247782523531271,2.1232085,CYR61,0.2833947677794255,1.8092875,MIF,0.19207890144803894,0.68747866
107,PAICS,0.005612918955078877,0.5757426,SRSF7,0.0022421202710502987,0.5812218,FAAH,0.06208139939797227,3.0518663,MFSD1,0.22475794495491008,1.6941535,SLIT3,0.285992665139201,2.5440242,ACTN1,0.1947636977484091,1.5457208
108,VASH1,0.005989839001379805,2.5457387,ID3,0.0022897593117292194,0.74058956,BAMBI,0.06124131257162552,0.9389792,FGF18,0.2237321933764902,0.82545954,CCDC61,0.2879803873346392,2.3550913,FN1,0.19420039603152858,1.3346283
109,FBXO5,0.0060458149272561695,0.8190813,RBM24,0.0023509384219053777,0.62100047,PSMB4,0.06137841945644001,0.5577614,USE1,0.22597683894382967,1.6702574,TAF1A,0.2888569484397592,2.6714845,TMEM132C,0.1974784148812896,2.3881242
110,ABCE1,0.006162127649427783,0.47475877,PSMD7,0.0024381270792432908,0.54045916,PCGF6,0.06253468853027987,2.4346132,SRI,0.2246953255312441,1.251148,PMM1,0.2876890302970638,2.5021157,ARL4C,0.19665790057315286,1.5541106
111,COL1A2,0.0063985412476002534,1.9525502,AP2M1,0.0024662505005852353,0.82926786,RPL29,0.06172364047997103,0.46361402,GADD45A,0.22642737596095708,1.6644572,SRXN1,0.2876890302970638,2.5021157,SEC61A1,0.19604093546589796,1.515119
112,BF1,0.006418983960273616,2.4842691,ACAP2,0.0025841215296346872,1.7343562,HDAC4,0.062326700056287855,1.6277783,ECI2,0.2272904731825535,2.128996,SENP6,0.28985850239898525,2.5028033,AKAP12,0.19596561392813716,1.0728132
113,DAZAP1,0.006677683890462276,0.5076296,CTNNB1,0.0026126604307464196,0.4701892,TMEM41B,0.06315625259546649,2.1883953,NR1H3,0.226001280312674,1.6910994,GGA3,0.2893979416500868,2.461376,SENP8,0.1993917834093513,2.3729165
114,CDX1,0.006705365315322123,1.6747571,TIMP3,0.0026683547124989443,2.0022113,RPL8,0.06480119393576823,0.40728796,POLR2D,0.22553475157856404,1.2564092,GBE,0.2893979416500868,2.461376,MANF,0.19838254931806373,1.56726
115,AGRN,0.006736293152124728,0.7762298,CORO1B,0.0027753314581586146,1.2048173,CHCHD1,0.0653135079427682,1.0984559,IRAK1BP1,0.22821160547418531,2.1232083,RBM6,0.2893979416500868,2.461376,WWC2,0.20779272642005334,4.256561
116,CTSD,0.006786374263516016,0.6286654,ALDH7A1,0.002787403198952118,0.7352651,BRPF3,0.0657232464249903,1.3813161,MIER1,0.22899567635607218,2.168306,TRIM45,0.2893979416500868,2.461376,FN3KRP,0.20259899105363374,2.3192947
117,GFPT2,0.0071285423109809926,1.3440452,BID,0.0028206349220515825,0.6038159,ANXA11,0.06667223560652968,2.4570413,PLCB4,0.23279595166525516,3.2269232,SZRD1,0.2881262188889549,1.2139274,SELENOT,0.20122069727218944,1.53031
118,GART,0.007140369473359644,1.012702,ATP5MF,0.003112091242500131,0.5123515,ENO1,0.06608249235408045,0.38831368,HTR7,0.23279595166525516,3.2269232,MAP6,0.28987768189275476,1.716287,WRAP73,0.20825174176217243,3.8634605
119,IVNS1ABP,0.007140382656146715,1.0127017,HOXA10,0.0031885526860902557,2.2336383,ATP5MF,0.06718483269273724,0.60966307,GPN2,0.2318833186678571,2.068134,NKRF,0.29068261505874626,1.3907695,NACA,0.20394265917804175,1.7654738
120,CASR,0.007411338537890722,2.0983143,HEXB,0.0031742449855037724,1.1797181,DSTN,0.0677058665455061,0.42298475,PTGR1,0.23216255917079012,1.627585,ANXA11,0.29366861984354686,2.4898524,DKC1,0.2025252604143124,1.0109513
121,SLC7A5,0.007417034476871205,1.1058825,MATR3,0.00325033414398273,0.9069585,CAPZA1,0.06870767347540367,0.8989548,SP3,0.23158875918386174,1.1025877,DTWD2,0.29243497452710565,1.7257764,MARK3,0.20455870415545666,1.5311304
122,WBP4,0.00763833800842464,0.99957955,TALDO1,0.003250908179858026,0.6638674,TMEM237,0.07054408029318243,2.052868,HOXD12,0.232454585114501,0.9674108,HOXA7,0.29231577488386756,0.7126403,NUB1,0.2134008070277054,3.7108395
123,ORAI2,0.007705386945275716,1.1494552,IFRD1,0.003271220358846834,1.128215,ASB7,0.07098089625531331,1.5359777,ADNP,0.23564597927955366,1.0027001,MORF4L1,0.2983196345579394,2.6318176,ACOT7,0.20765386597658017,1.44911
124,KRT7,0.007796161823319061,2.0223002,COL4A1,0.0033997226955021923,1.2497588,HNRNPH3,0.07053287866964059,0.47918358,GRAMD4,0.2395609372544189,2.08266,ACTA1,0.29599667909144045,1.7075386,YME1L1,0.20805165167862358,1.431207
125,TIMM21,0.007818369680540673,1.3293107,RAB5C,0.0033970499591010643,1.0188566,TOMM7,0.07150613429106017,0.6799637,SCG5,0.24096981242896154,3.1247458,RSU1,0.2967839809346503,1.3449627,PSMD2,0.20872537601961755,1.2441672
126,FYCO1,0.008009707969353115,23.360308,GNAI3,0.003476291446082678,0.5023982,NELFCD,0.07230199117013632,1.36226,ZDHHC21,0.24096981626860586,3.1247458,EPS15L1,0.29902825612956774,2.3676426,EEF1D,0.2094527778086768,0.5399332
