index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden
5462-0,0,bcERKG,6s1,1104.0,None,d3,d3,616,1104.0,-0.063987255,0.0847556,G2M,3
5463-0,0,bcGYKH,6s1,735.0,None,d3,d3,579,735.0,-0.095056936,-0.15064418,G1,2
5464-0,0,bcGMHA,6s1,852.0,None,d3,d3,590,852.0,0.122640714,-0.12897745,S,1
5465-0,0,bcAVSW,6s1,693.0,None,d3,d3,564,693.0,-0.04425828,-0.1693447,G1,0
5466-0,0,bcHKAU,6s1,784.0,None,d3,d3,544,784.0,-0.18790807,0.22555183,G2M,2
5588-0,0,bcIBMV,6s1,2827.0,None,d3,d3,1083,2827.0,-0.104378656,0.06902224,G2M,4
5589-0,0,bcICOQ,6s1,1148.0,None,d3,d3,680,1148.0,-0.2268774,-0.009218063,G1,5
5590-0,0,bcFWZG,6s1,972.0,None,d3,d3,608,972.0,-0.22557579,0.3118735,G2M,1
5591-0,0,bcDCPV,6s1,747.0,None,d3,d3,578,747.0,-0.084021054,-0.045568146,G1,5
5715-0,0,bcEXEU,6s1,2894.0,None,d3,d3,1163,2894.0,0.15600774,-0.15258878,S,2
5716-0,0,bcHJRP,6s1,1405.0,None,d3,d3,696,1405.0,0.07333066,-0.07590065,S,3
5717-0,0,bcGPOQ,6s1,976.0,None,d3,d3,629,976.0,-0.20565239,0.050644275,G2M,0
5719-0,0,bcCCYW,6s1,707.0,None,d3,d3,563,707.0,-0.17303456,-0.15200008,G1,3
5842-0,0,bcAAAH,6s1,2865.0,None,d3,d3,1162,2865.0,-0.08651106,-0.3303832,G1,4
5843-0,0,bcANNY,6s1,1276.0,None,d3,d3,657,1276.0,-0.23592398,0.32447794,G2M,2
5844-0,0,bcACHG,6s1,1017.0,None,d3,d3,614,1017.0,-0.07059501,0.4116616,G2M,2
5845-0,0,bcEWJH,6s1,797.0,None,d3,d3,553,797.0,0.0066354685,-0.14326784,S,2
5846-0,0,bcBLRK,6s1,642.0,None,d3,d3,591,642.0,-0.08072718,0.17325017,G2M,3
5969-0,0,bcAQBH,6s1,2545.0,None,d3,d3,1065,2545.0,-0.092543416,0.1442344,G2M,0
5970-0,0,bcHWCZ,6s1,1190.0,None,d3,d3,657,1190.0,0.45828342,-0.07271995,S,4
5971-0,0,bcESIQ,6s1,875.0,None,d3,d3,622,875.0,-0.086664125,-0.1295036,G1,3
5972-0,0,bcBJRX,6s1,827.0,None,d3,d3,587,827.0,0.20606342,0.1866029,S,0
6096-0,0,bcBDZU,6s1,2727.0,None,d3,d3,1189,2727.0,-0.091574535,-0.007365346,G1,6
6097-0,0,bcGTAB,6s1,1299.0,None,d3,d3,695,1299.0,0.05743487,-0.046921134,S,2
6098-0,0,bcGRDN,6s1,839.0,None,d3,d3,550,839.0,-0.14501028,0.44487825,G2M,0
6101-0,0,bcBOIR,6s1,680.0,None,d3,d3,549,680.0,-0.13218859,0.22067335,G2M,2
6223-0,0,bcEUJN,6s1,2551.0,None,d3,d3,1102,2551.0,-0.09529675,0.28226578,G2M,2
6224-0,0,bcAYCC,6s1,1070.0,None,d3,d3,637,1070.0,0.86037683,0.092037894,S,3
6225-0,0,bcDCCQ,6s1,924.0,None,d3,d3,560,924.0,-0.21787576,-0.00026040152,G1,0
6226-0,0,bcHEIY,6s1,815.0,None,d3,d3,582,815.0,-0.20182647,-0.14219968,G1,6
6350-0,0,bcCAQR,6s1,2953.0,None,d3,d3,1249,2953.0,0.13104302,-0.2222811,S,2
6351-0,0,bcFXTG,6s1,1198.0,None,d3,d3,633,1198.0,-0.0067279264,0.08400491,G2M,0
6352-0,0,bcIBQD,6s1,973.0,None,d3,d3,597,973.0,-0.3142616,0.18779911,G2M,2
6353-0,0,bcCBLJ,6s1,728.0,None,d3,d3,639,728.0,0.09658514,-0.3590064,S,1
6354-0,0,bcBXUU,6s1,662.0,None,d3,d3,574,662.0,0.087198265,0.07002869,S,2
6477-0,0,bcESOK,6s1,2673.0,None,d3,d3,1093,2673.0,0.1502961,0.048399895,S,2
6478-0,0,bcFHWQ,6s1,1317.0,None,d3,d3,657,1317.0,0.12539017,-0.097191446,S,0
6479-0,0,bcIHGU,6s1,1021.0,None,d3,d3,601,1021.0,-0.27029833,0.26495233,G2M,0
6480-0,0,bcFXLK,6s1,658.0,None,d3,d3,569,658.0,0.64589405,-0.1411559,S,4
6481-0,0,bcHIPN,6s1,656.0,None,d3,d3,569,656.0,-0.087737694,0.024988566,G2M,0
6604-0,0,bcHNAV,6s1,2888.0,None,d3,d3,1200,2888.0,0.49924138,-0.1005813,S,2
6605-0,0,bcIHEK,6s1,1121.0,None,d3,d3,646,1121.0,-0.090202264,-0.022868508,G1,3
